N,Calculation,Baseline,Matrices_memory,total_memory,
2,D,21736,6432,28168,
2,I,21768,6096,27864,
2,I,21828,3492,25320,Parallel
16,I,21832,10884,32716,Parallel
16,D,21780,7976,29756,
64,I,21788,97136,118924,Parallel
64,D,21872,17760,39632,
272,I,21772,1657256,1679028,Parallel
272,D,21680,108656,130336,
64,I,21724,9576,31300,
272,I,21820,58896,80716,
16,I,21720,6432,28152,
Analysis of Sheilaâ€™s cube,,,,,
2,D,21868,5888,27756,
128,D,21856,34276,56132,
432,D,21752,248072,269824,
72,D,21836,20172,42008
520,D,21868,352552,374420
1008,D,21800,1106688,1128488
308,D,21872,137308,159180
1650,D,21768,2814372,2836140
128,D,21772,34604,56376
280,D,21904,113948,135852
432,D,21844,247668,269512
1944,D,21772,3870844,3892616
1792,D,21836,3303076,3324912
352,D,21816,171276,193092
